cfl_game_id,sked_id,week_name,week_short,week_id,game_num,game_date,date_tbd,time_tbd,game_status,away_team,away_initial,away_score1,away_score2,away_score3,away_score4,away_scoreOT,away_id,home_team,home_initial,home_score1,home_score2,home_score3,home_score4,home_scoreOT,home_id,attendance,sold_out,is_visible,culture
237,112,Week 5,5,9,24,06-07-14 19:30,0,0,Final,Calgary,cgy,0,4,0,13,0,2,Hamilton,ham,7,0,3,10,0,6,26944,0,1,en
239,113,Week 5,5,9,25,06-07-14 22:30,0,0,Final,Saskatchewan,ssk,10,0,9,10,0,4,BC,bc,6,17,3,2,0,1,28513,0,1,en
241,114,Week 5,5,9,26,06-07-15 19:00,0,0,Final,Montreal,mtl,3,13,14,14,0,9,Winnipeg,wpg,7,8,0,1,0,5,28131,0,1,en
243,115,Week 6,6,10,27,06-07-20 19:00,0,0,Final,Hamilton,ham,14,6,7,11,0,6,Montreal,mtl,3,14,14,10,0,9,20202,0,1,en
245,116,Week 6,6,10,28,06-07-20 22:00,0,0,Final,Winnipeg,wpg,4,3,9,9,0,5,Edmonton,edm,1,3,7,11,0,3,37611,0,1,en
247,117,Week 6,6,10,29,06-07-21 21:00,0,0,Final,BC,bc,10,3,13,17,0,1,Calgary,cgy,1,6,3,10,0,2,31210,0,1,en
249,118,Week 6,6,10,30,06-07-22 19:00,0,0,Final,Toronto,tor,7,11,0,8,0,7,Saskatchewan,ssk,3,0,7,13,0,4,24967,0,1,en
251,119,Week 7,7,11,31,06-07-28 19:15,0,0,Final,Winnipeg,wpg,9,13,0,7,0,5,Hamilton,ham,0,0,0,0,0,6,27027,0,1,en
253,120,Week 7,7,11,32,06-07-28 22:00,0,0,Final,Montreal,mtl,0,4,3,14,0,9,Edmonton,edm,0,3,3,7,0,3,32411,0,1,en
255,121,Week 7,7,11,33,06-07-29 19:00,0,0,Final,BC,bc,7,7,7,7,0,1,Toronto,tor,0,1,0,7,0,7,28356,0,1,en
257,122,Week 7,7,11,34,06-07-29 22:00,0,0,Final,Calgary,cgy,3,3,3,0,0,2,Saskatchewan,ssk,0,14,3,2,0,4,23107,0,1,en
259,123,Week 8,8,12,35,06-08-03 19:30,0,0,Final,Toronto,tor,0,0,0,7,0,7,Montreal,mtl,10,6,8,7,0,9,20202,0,1,en
261,124,Week 8,8,12,36,06-08-04 19:30,0,0,Final,Hamilton,ham,7,11,1,7,0,6,Winnipeg,wpg,8,2,1,0,0,5,26521,0,1,en
263,125,Week 8,8,12,37,06-08-04 22:30,0,0,Final,Edmonton,edm,0,0,7,10,0,3,BC,bc,7,10,14,3,0,1,27312,0,1,en
265,126,Week 8,8,12,38,06-08-05 19:00,0,0,Final,Saskatchewan,ssk,3,3,0,1,0,4,Calgary,cgy,7,9,0,7,0,2,34319,0,1,en
267,128,Week 9,9,13,39,06-08-10 20:00,0,0,Final,BC,bc,6,7,6,13,0,1,Winnipeg,wpg,0,3,0,2,0,5,25033,0,1,en
269,129,Week 9,9,13,40,06-08-11 21:30,0,0,Final,Saskatchewan,ssk,7,3,5,3,0,4,Edmonton,edm,3,8,7,6,0,3,39599,0,1,en
271,130,Week 9,9,13,41,06-08-12 19:00,0,0,Final,Toronto,tor,0,10,7,3,0,7,Hamilton,ham,1,0,1,0,0,6,29010,0,1,en
273,131,Week 9,9,13,42,06-08-12 22:00,0,0,Final,Montreal,mtl,7,10,3,4,0,9,Calgary,cgy,1,10,3,13,0,2,29452,0,1,en
275,133,Week 10,10,14,43,06-08-18 22:30,0,0,Final,Edmonton,edm,7,4,7,10,0,3,BC,bc,3,17,3,7,0,1,33589,0,1,en
277,134,Week 10,10,14,44,06-08-19 19:00,0,0,Final,Montreal,mtl,0,3,3,0,0,9,Toronto,tor,7,7,0,17,0,7,30786,0,1,en
279,135,Week 10,10,14,45,06-08-19 22:00,0,0,Final,Hamilton,ham,0,8,7,0,0,6,Saskatchewan,ssk,10,14,13,9,0,4,22820,0,1,en
281,136,Week 11,11,15,46,06-08-24 19:30,0,0,Final,Calgary,cgy,7,6,14,14,0,2,Montreal,mtl,6,10,4,3,0,9,20202,0,1,en
283,137,Week 11,11,15,47,06-08-25 20:00,0,0,Final,Toronto,tor,0,0,3,15,0,7,Winnipeg,wpg,7,8,0,0,0,5,25014,0,1,en
285,138,Week 11,11,15,48,06-08-26 19:00,0,0,Final,Saskatchewan,ssk,19,15,7,10,0,4,Hamilton,ham,1,2,1,4,0,6,26564,0,1,en
287,140,Week 12,12,16,49,06-09-01 19:30,0,0,Final,BC,bc,7,13,7,21,0,1,Montreal,mtl,3,3,7,0,0,9,20202,0,1,en
289,141,Week 12,12,16,50,06-09-03 19:30,0,0,Final,Winnipeg,wpg,4,8,0,0,0,5,Saskatchewan,ssk,14,14,4,7,0,4,30900,0,1,en
291,142,Week 12,12,16,51,06-09-04 15:00,0,0,Final,Edmonton,edm,3,10,7,3,0,3,Calgary,cgy,3,24,3,14,0,2,35744,0,1,en
293,143,Week 12,12,16,52,06-09-04 18:00,0,0,Final,Toronto,tor,2,3,7,28,0,7,Hamilton,ham,3,0,3,0,0,6,28891,0,1,en
295,145,Week 13,13,17,53,06-09-08 21:00,0,0,Final,Calgary,cgy,0,11,7,8,0,2,Edmonton,edm,6,10,3,16,0,3,47965,0,1,en
297,146,Week 13,13,17,54,06-09-09 15:00,0,0,Final,Hamilton,ham,0,6,3,0,0,6,Toronto,tor,1,6,0,4,0,7,26212,0,1,en
